application,variant,datasets,coverage,timeliness,speedup_over_nopf
database_gb_m,no_loop,1,0.522380842,0.874300163,1.344000000
database_gb_m,full,1,0.522380842,0.874300163,1.344000000
database_hj_m,no_loop,1,0.476499346,0.705398372,1.376322589
database_hj_m,full,1,0.756597565,0.834693510,2.368694087
graph_bfs_queue,no_loop,2,0.002185838,0.425627240,1.000767723
graph_bfs_queue,full,2,0.406475679,0.607036852,3.323570728
graph_mst_queue,no_loop,2,0.003332716,0.042836077,1.014485270
graph_mst_queue,full,2,0.374281041,0.658590364,2.043227317
graph_sssp_queue,no_loop,2,0.004226781,0.050180604,1.010660934
graph_sssp_queue,full,2,0.543277577,0.715999811,2.130526915
overall,no_loop,8,0.127296357,0.327123297,1.086891186
overall,full,8,0.490880875,0.709030966,2.254061129
